tfda_code,sample_name,alias,category,kcal_per_100g,modified_kcal_per_100g,protein_g,fat_g,carbohydrate_g,waste_percent,unit_weight
E3200201,荷葉白菜,"白菜,青菜,散葉白菜,無心菜,菘,不結球白菜",蔬菜類,14.0,12.0,1.4,0.1,2.5,9.7,0.0克
E3200401,黑葉白菜(短梗),"白菜,青菜,散葉白菜,無心菜,菘,不結球白菜",蔬菜類,15.0,13.0,1.3,0.0,2.9,11.4,0.0克
E3200501,千寶菜,,蔬菜類,20.0,16.0,1.7,0.2,3.6,,0.0克
E33001,結球白菜平均值,"大白菜,黃芽菜,包心白菜,卷心白菜,山東白菜,結球白菜",蔬菜類,17.0,15.0,1.2,0.3,2.9,12.7,686.5克
E37002,芹菜平均值,"旱芹,藥芹,洋芹,白芹,塘蒿,和蘭鴨兒芹",蔬菜類,15.0,13.0,0.8,0.1,3.1,35.7,27.0克
E5800501,冷凍青花菜,"(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞",蔬菜類,25.0,19.0,2.5,0.2,4.4,,0.0克
E62001,冬瓜平均值,"白瓜,東瓜,枕瓜,水芝,地芝",蔬菜類,11.0,9.0,0.4,0.1,2.4,26.6,698.0克
E63001,南瓜平均值,"金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜",蔬菜類,74.0,69.0,1.9,0.2,17.3,26.9,723.0克
E6400101,胡瓜,"大黃瓜,刺瓜,黃瓜,生瓜,王瓜,花瓜,黑瓜,大瓜",蔬菜類,14.0,13.0,0.7,0.1,2.9,23.5,545.0克
E6400201,花胡瓜(有機),"小黃瓜,花瓜,小胡瓜,小刺瓜",蔬菜類,15.0,14.0,0.8,0.1,3.1,2.6,106.0克
E6600101,隼人瓜,"梨瓜,壽瓜,合掌瓜,安南瓜,香瓜仔,拳頭瓜,佛掌瓜、香圓瓜,香櫞瓜,佛手瓜,瓦瓜",蔬菜類,23.0,20.0,0.7,0.1,5.2,13.0,386.0克
E70001,蒲瓜平均值,"扁蒲,蒲仔,瓠子(瓜/餔),匏仔(瓜),葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",蔬菜類,18.0,15.0,0.5,0.1,4.0,15.5,692.0克
E7300101,長茄子,"茄,茄仔,紅皮菜,紅茄(菜),紅茄仔,落蘇,崑崙瓜,紫瓜,酪酥,小蓏,長茄",蔬菜類,25.0,20.0,1.2,0.2,5.3,10.9,204.0克
E74001,大番茄平均值(紅色系),"柑仔蜜,甘仔(阿)蜜,草柿,臭柿仔,西紅柿,小金瓜,番柿,六月柿,洋柿(茄)子,紅茄,毛臘果",蔬菜類,19.0,17.0,0.8,0.1,4.1,2.0,152.3克
E75001,甜椒平均值(青皮),"青椒,(甜)番椒,青辣椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",蔬菜類,29.0,24.0,1.0,0.4,5.9,14.7,58.0克
E7700701,綠豆芽,"豆芽菜,豆菜,綠豆菜",蔬菜類,24.0,21.0,2.3,0.2,4.1,,1.0克
F0210101,紫菜,海苔,藻類,268.0,212.0,28.1,0.9,47.9,0.0,0.0克
F07001,海帶平均值,"江白菜,昆布,海昆布",藻類,19.0,14.0,0.7,0.1,4.2,0.0,0.0克
F0700103,海帶梗,海帶根,藻類,14.0,9.0,0.4,0.0,3.2,0.0,0.0克
F0700104,海帶結,"江白菜結,昆布結,海昆布結",藻類,17.0,12.0,0.8,0.1,3.6,,0.0克
F0700105,海帶絲,"江白菜絲,昆布絲,海昆布絲",藻類,22.0,17.0,0.7,0.1,5.0,,0.0克
F0800101,裙帶菜,"海帶芽,嫩海帶",藻類,58.0,39.0,5.0,0.0,11.6,0.0,0.0克
G0100101,木耳,"黑木耳,桑耳,白背毛木耳,木樟(檽/菌/茸/蛾/樅),樹雞(毛木耳)",菇類,38.0,24.0,0.9,0.1,8.8,0.0,0.0克
G1200101,秀珍菇,"平菇,小平菇,側耳平菇,蠔菇,袖珍(鮑魚)菇(側耳)",菇類,28.0,25.0,3.3,0.1,4.6,0.0,0.0克
G13002,杏鮑菇平均值,"鳳尾菇,雪茸,帝王菇,平菇王,蠔菇王,干貝菇,刺芹側耳,義大利側耳,義大利蠔菌,杏鮑茸,西洋刺耳",菇類,41.0,35.0,2.7,0.2,8.3,0.0,71.0克
G1600101,金針菇,"金(冬/榎/朴)菇,金絲菇,金菇菜,秋葷,樸蕈構菌,毛柄金線菇,菌子(絨柄金錢菇)",菇類,37.0,33.0,2.6,0.3,7.2,0.0,0.0克
G1900101,鴻喜菇,"紅喜菇,真姬菇,斑玉蕈,玉蕈,膠玉蘑,蟹味菇,海鮮菇,假松茸,松茸菇,榆菇,靈芝菇,黑真珠",菇類,30.0,25.0,2.9,0.1,5.3,10.5,0.0克
G2000101,洋菇,"西洋蘑菇(蘑菇,雙孢蘑菇)",菇類,25.0,23.0,3.0,0.2,3.8,0.0,11.0克
H0405101,紅豆,"小豆,赤小豆,赤豆,通常小豆,小紅豆,紅小豆",豆類,328.0,290.0,20.9,0.6,61.5,,221.0克
H0705102,綠豆,"菉豆,綠小豆,輻莢豆",豆類,344.0,312.0,22.8,1.1,63.0,,219.0克
